GATO,CAT,
PERRO,DOG,
PÁJARO,BIRD,
PATO,DUCK,
CORDERO,LAMB,
VACA,COW,
CABALLO,HORSE,
ELEFANTE,ELEPHANT,
ARAÑA,SPIDER,
ABEJA,BEE,
POLLITO,CHICK,
CARACOL,SNAIL,
PEZ,FISH,
TORO,BULL,
JIRAFA,GIRAFFE,
TIGRE,TIGER,
PANTERA,PANTHER,
BURRO,DONKEY,
GANSO,GOOSE,
CANGURO,KANGAROO, 
INSECTO,INSECT,
PULPO,OCTOPUS,
LANGOSTA,CRAB,
OSO,BEAR,
PINGÜINO,PENGUIN,
PAVO,TURKEY,
PAVO REAL ,PEACOCK,
PALOMA,PIGEON/ DOVE ,
LOBO,WOLF,
ZORRO,FOX,
GALLINA,HEN,
RATA,RAT,
SERPIENTE,SNAKE,
MARIPOSA,BUTTERFLY,
MOSQUITO,MOSQUITO,
BALLENA,WHALE,
GALLO,COCK,
ÁGUILA,EAGLE,
MONO,MONKEY,
CAMELLO,CAMEL,
CONEJO,RABBIT,
CHANCHO,PIG,
HORMIGA,ANT,
LEÓN,LION,
HORNERO,BAKER,
LUCIÉRNAGA,FIREFLY,
ARDILLA,SQUIRREL,
HIPOPÓTAMO,HIPPOPOTAMUS,
RINOCERONTE,RHINOCEROS,
CEBRA,ZEBRA,
COCODRILO,CROCODILE,
CABRA,GOAT,
COALA,KOALA,
SAPO,TOAD,
RANA ,FROG,
CISNE,SWAN,
